Model,DPO2024B
Firmware Version,1.56

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.0002,,,
Sample Interval,3.84025e-07,,,
Filter Frequency,290000,,,
Record Length,5208,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.1,,0.02,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.4025e-04,-0.444,-0.448,0.000799999,0.0096
-1.3987e-04,-0.444,-0.436,0.0016,-0.0096
-1.3948e-04,-0.444,-0.448,0.0032,0.0072
-1.3910e-04,-0.444,-0.44,0.0048,0.0024
-1.3872e-04,-0.444,-0.448,0.0056,0.0096
-1.3833e-04,-0.444,-0.436,0.0056,-0.0032
-1.3795e-04,-0.444,-0.448,0.0056,0.0176
-1.3756e-04,-0.444,-0.44,0.0048,0.000799999
-1.3718e-04,-0.444,-0.448,0.004,0.0104
-1.3680e-04,-0.444,-0.44,0.0032,0.000799999
-1.3641e-04,-0.444,-0.448,0.0024,0.0072
-1.3603e-04,-0.444,-0.44,0.0016,-0.0048
-1.3564e-04,-0.444,-0.448,-0.000800001,0.0064
-1.3526e-04,-0.444,-0.44,-0.0016,-0.0072
-1.3488e-04,-0.444,-0.448,-0.0024,0.0016
-1.3449e-04,-0.444,-0.436,-0.0024,-0.0064
-1.3411e-04,-0.444,-0.448,-0.0016,0.0024
-1.3372e-04,-0.444,-0.436,-0.0016,-0.0064
-1.3334e-04,-0.444,-0.448,-0.0016,0.0024
-1.3296e-04,-0.444,-0.436,-0.0024,-0.0072
-1.3257e-04,-0.444,-0.448,-0.004,0.0032
-1.3219e-04,-0.444,-0.44,-0.004,-0.0096
-1.3180e-04,-0.444,-0.448,-0.004,0.0016
-1.3142e-04,-0.444,-0.436,-0.004,-0.0096
-1.3104e-04,-0.444,-0.448,-0.0048,-0.000800001
-1.3065e-04,-0.444,-0.44,-0.004,-0.008
-1.3027e-04,-0.444,-0.448,-0.004,-5.72205e-10
-1.2988e-04,-0.444,-0.436,-0.0048,-0.0096
-1.2950e-04,-0.444,-0.448,-0.0048,0.0048
-1.2912e-04,-0.444,-0.436,-0.004,-0.0104
-1.2873e-04,-0.444,-0.448,-0.0016,0.000799999
-1.2835e-04,-0.444,-0.436,0.000799999,-0.004
